Долгопрудный,Московская область,120907,55.933330,37.500000
Долинск,Сахалинская область,11740,47.316670,142.800000
Домодедово,Московская область,152404,55.443890,37.758060
Донецк,Ростовская область,46623,48.336940,39.945000
Донской,Тульская область,63837,53.966670,38.316670
Дорогобуж,Смоленская область,9528,54.920000,33.307778
Дрезна,Московская область,12295,55.744440,38.849440
Дубна,Московская область,74183,56.750000,37.150000
Дубовка,Волгоградская область,14779,49.050000,44.833330
Дудинка,Красноярский край,19556,69.400000,86.183330
Духовщина,Смоленская область,3990,55.200000,32.416670
Дюртюли,Башкортостан,31185,55.483330,54.866670
Дятьково,Брянская область,25255,53.600000,34.333330
Евпатория,Крым,107877,45.200000,33.358330
Егорьевск,Московская область,71686,55.383330,39.033610
Ейск,Краснодарский край,82943,46.710560,38.277780
Екатеринбург,Свердловская область,1544376,56.833330,60.583330
Елабуга,Татарстан,73630,55.766670,52.033330
Елец,Липецкая область,99875,52.616670,38.466670
Елизово,Камчатский край,36240,53.183330,158.383330
Ельня,Смоленская область,8332,54.566670,33.166670
Еманжелинск,Челябинская область,27632,54.750000,61.316670
Емва,Коми,10994,62.583330,50.850000
Енисейск,Красноярский край,17537,58.466670,92.133330
Ермолино,Калужская область,10809,55.205560,36.570000
Ершов,Саратовская область,18095,51.350000,48.283330
Ессентуки,Ставропольский край,119658,44.043060,42.864170
Ефремов,Тульская область,36545,53.149167,38.082585
Железноводск,Ставропольский край,22863,44.133330,43.033330
Железногорск,Красноярский край,82723,56.250000,93.533330
Железногорск,Курская область,97038,52.339174,35.351582
Железногорск-Илимский,Иркутская область,21621,56.583330,104.116670
Жердевка,Тамбовская область,13883,51.833330,41.466670
Жигулёвск,Самарская область,50466,53.400000,49.500000
Жиздра,Калужская область,5545,53.750280,34.736110
Жирновск,Волгоградская область,15555,50.980280,44.780830
Жуков,Калужская область,16224,55.033330,36.750000
Жуковка,Брянская область,17628,53.533330,33.733330
Жуковский,Московская область,111222,55.601110,38.116110
Завитинск,Амурская область,9615,50.116670,129.433330
Заводоуковск,Тюменская область,27100,56.500000,66.550000
Заволжск,Ивановская область,8896,57.483330,42.133330
Заволжье,Нижегородская область,36763,56.642500,43.392780
Задонск,Липецкая область,9887,52.383330,38.916670
Заинск,Татарстан,39739,55.300000,52.016670
Закаменск,Бурятия,11365,50.383330,103.283330
Заозёрный,Красноярский край,10573,55.966670,94.700000
Заозёрск,Мурманская область,7762,69.400000,32.450000
Западная Двина,Тверская область,7869,56.266670,32.083330
Заполярный,Мурманская область,14791,69.416670,30.800000
Зарайск,Московская область,20736,54.765280,38.883610
Заречный,Пензенская область,58510,53.200000,45.166670
Заречный,Свердловская область,28112,56.816670,61.316670
Заринск,Алтайский край,41272,53.700000,84.916670
Звенигово,Марий Эл,10994,55.966670,48.016670
Звенигород,Московская область,35842,55.733330,36.850000
Зверево,Ростовская область,19353,48.016670,40.116670
Зеленогорск,Красноярский край,54279,56.100000,94.583330
Зеленоградск,Калининградская область,16625,54.950000,20.483330
Зеленодольск,Татарстан,99137,55.850000,48.516670
Зеленокумск,Ставропольский край,33187,44.407012,43.873123
Зерноград,Ростовская область,24076,46.846525,40.304033
Зея,Амурская область,19414,53.733330,127.250000
Зима,Иркутская область,30640,53.916670,102.050000
Златоуст,Челябинская область,161774,55.166670,59.666670
Злынка,Брянская область,5270,52.433330,31.733330
Змеиногорск,Алтайский край,9410,51.166670,82.166670
Знаменск,Астраханская область,24628,48.583330,45.750000
Зубцов,Тверская область,6217,56.166670,34.583330
Зуевка,Кировская область,9767,58.403333,51.130361
Ивангород,Ленинградская область,9861,59.376490,28.219712
Иваново,Ивановская область,361644,56.996670,40.981940
Ивантеевка,Московская область,82827,55.970000,37.920000
Ивдель,Свердловская область,14306,60.683330,60.433330
Игарка,Красноярский край,3634,67.466670,86.566670
Ижевск,Удмуртия,623472,56.853060,53.212220
Избербаш,Дагестан,55996,42.566670,47.866670
Изобильный,Ставропольский край,38614,45.366670,41.716670
Иланский,Красноярский край,15945,56.233330,96.066670
Инза,Ульяновская область,16293,53.850000,46.350000
Иннополис,Татарстан,3955,55.750000,48.745000
Инсар,Мордовия,7920,53.866670,44.366670
Инта,Коми,20271,66.039814,60.131519
Ипатово,Ставропольский край,26122,45.716670,42.900000
Ирбит,Свердловская область,37009,57.666670,63.066670
Иркутск,Иркутская область,606369,52.283330,104.300000
Исилькуль,Омская область,20515,54.908890,71.260560
Искитим,Новосибирская область,57147,54.633330,83.300000
Истра,Московская область,37474,55.916670,36.866670
Ишим,Тюменская область,67614,56.116670,69.500000
Ишимбай,Башкортостан,64041,53.454440,56.043890
Йошкар-Ола,Марий Эл,281248,56.632778,47.895833
Кадников,Вологодская область,4106,59.500000,40.333330
